id,question
7,Is Dr. Kohan's operational technique specified in his records?
7,What is the address of the Joint Orthopaedic Centre where Dr. Kohan practices?
8,What is Dr. Y. Kai Lee's specialty in orthopedic surgery?
8,"Where is Dr. Y. Kai Lee's clinic located in Fairfield, Australia?"
8,Can I contact Dr. Y. Kai Lee by phone for questions about my hip surgery?
8,Does Dr. Y. Kai Lee provide complete operation reports after surgery?
8,What are the patient-reported outcomes for those who have undergone surgery with Dr. Y. Kai Lee?
9,What type of hip replacement prosthesis does Dr. Bruce R.T. Love use?
9,Where is Dr. Bruce R.T. Love's practice located?
9,What kind of patient-reported outcomes has Dr. Bruce R.T. Love received?
9,Is there a specific hospital where Dr. Bruce R.T. Love performs surgeries?
9,What is the contact phone number for Dr. Bruce R.T. Love's office?
10,What is Dr. Stephen McMahon's specialty and where does he practice?
10,Can you provide the contact details for Dr. Stephen McMahon at The Avenue Hospital?
10,What type of hip replacement prosthesis does Dr. McMahon use for hip resurfacing?
10,What are the reported outcomes from patients who have undergone surgery with Dr. McMahon?
10,Is there a website where I can find more information about Dr. McMahon's services?
11,What type of hip replacement prosthesis does Dr. David G. Morgan use for his surgeries?
11,"Can you provide the location of Dr. Morgan's practice in Ipswich, Australia?"
11,Has Dr. Morgan received any patient-reported positive outcomes from his surgeries?
11,What is the contact phone number for the Centre for Arthritis Orthopaedic Surgery where Dr. Morgan works?
11,Is there a specific operational technique that Dr. Morgan follows during hip surgeries?
12,What type of hip replacement prosthesis does Dr. Roger Oakeshott use?
12,How does Dr. Oakeshott handle complications related to hip surgeries?
12,Is there any information on the average outcomes for patients treated by Dr. Oakeshott?
12,What is Dr. Oakeshott's experience with ASR prosthesis specifically?
12,Can Dr. Oakeshott provide patient support for those coming from abroad?
13,What is Dr. Joseph Robin's address and location for his practice?
13,Can you provide information about the types of hip replacement prostheses he uses?
13,Are there any reported complications from his past patients?
13,What kind of operational techniques does Dr. Robin utilize during surgeries?
13,Is there a way to contact Dr. Robin directly for inquiries?
14,What types of hip replacement prosthesis does Dr. Andrew Shimmin use for surgeries?
14,Can you tell me how many hip surgeries Dr. Andrew Shimmin has performed since May 2009?
14,Is Dr. Andrew Shimmin's practice open to foreign patients seeking treatment?
14,"What is the address of Dr. Andrew Shimmin's clinic in Prahran, Australia?"
14,Does Dr. Andrew Shimmin provide patient-reported outcomes after surgery?
15,What is Dr. Paul Smith's specialty and location?
15,Can you tell me about the type of hip prosthesis that Dr. Paul Smith uses?
15,Are there any patient-reported outcomes or complications for Dr. Paul Smith's surgeries?
15,Is Dr. Paul Smith affiliated with a hospital and what is the address?
15,What is the contact information for scheduling an appointment with Dr. Paul Smith?
16,What type of hip prosthesis does Dr. Michael Solomon use for surgeries?
16,Where is Dr. Michael Solomon's practice located?
16,Are there any patient-reported positive outcomes associated with Dr. Solomon's surgeries?
16,What is the phone number to contact Dr. Michael Solomon's office?
16,Does Dr. Solomon provide a complete operation report after surgeries?
17,What is Dr. Gregory Stackpool's operational technique for hip surgery?
17,Can you provide details on the type of prosthesis used by Dr. Stackpool during hip replacements?
17,Has Dr. Stackpool reported any patient complications in his surgeries?
17,"What is the address of Dr. Stackpool's clinic in Wollongong West, Australia?"
17,How can I contact Dr. Gregory Stackpool by phone?
18,What is Dr. Craig S. Waller's approach to hip replacements in terms of the type of prosthesis used?
18,Can you provide information regarding the surgical techniques employed by Dr. Waller during hip surgeries?
18,Are there any patient-reported outcomes or complications associated with Dr. Waller's procedures?
18,"What is the location and contact information for Dr. Waller's practice in Randwick, Australia?"
18,Does Dr. Waller accept foreign patients for hip surgery?
19,What is Dr. Len Walter's specialty and where is his practice located?
19,What type of hip prosthesis does Dr. Walter use for hip replacements?
19,Can I find any patient-reported outcomes or complications associated with Dr. Walter?
19,What is the address of Peninsula Orthopaedics where Dr. Walter works?
19,How can I contact Dr. Len Walter for more information or to schedule an appointment?
20,What type of hip prosthesis does Dr. Ian Woodgate use in his surgeries?
20,Can you tell me where Dr. Ian Woodgate's office is located?
20,What is Dr. Ian Woodgate's contact phone number for inquiries?
20,Is there any information on patient-reported outcomes from Dr. Ian Woodgate's surgeries?
20,Does Dr. Ian Woodgate perform surgery on foreign patients?
21,What type of hip replacement prosthesis does Dr. Piers Yates use?
21,Where is Dr. Piers Yates's practice located?
21,Does Dr. Piers Yates have a record of patient-reported positive outcomes?
21,What is the phone number to contact Dr. Piers Yates's office?
21,Is there a homepage where I can find more information about Dr. Piers Yates?
22,What is Dr. David Young's specialty in orthopedic surgery?
22,Where is Dr. David Young located for consultations?
22,Has Dr. David Young received positive feedback from his patients?
22,Is Dr. David Young's patient-reported outcomes data available?
22,Are there any known complications associated with Dr. David Young's surgeries?
23,What is Dr. Frank De Gendt's experience with hip surgeries based on the number of hip replacements he performs yearly?
23,Can you provide details about the types of hip prostheses that Dr. Frank De Gendt uses?
23,"Is Dr. Frank De Gendt's practice open to foreign patients, and how does that work?"
23,"What is the location of Dr. Frank De Gendt's practice in Torhout, Belgium?"
23,How can I contact Dr. Frank De Gendt's office for more information about scheduling an appointment?
24,What types of hip replacement prostheses does Dr. Koen Aime De Smet use in his surgeries?
24,"Can you tell me about Dr. De Smet's experience in performing hip surgeries, including the number he has performed?"
24,"Is Dr. De Smet available for foreign patients, and where is his practice located?"
24,What type of anesthesia does Dr. De Smet use during hip replacement surgeries?
24,Are there patient-reported outcomes available regarding the success and complications of Dr. De Smet's surgeries?
25,What types of hip replacement prostheses does Dr. Henrik Pieter Delport use in his surgeries?
25,"Can you provide information about Dr. Delport's experience with hip replacement surgeries in Sint Niklaas, Belgium?"
25,What kind of patient-reported outcomes has Dr. Delport documented for his hip surgeries?
25,"Where is Dr. Henrik Pieter Delport's practice located, and what is the postal code?"
25,Is there a way to contact Dr. Delport's office via email or phone for further inquiries?
26,What types of hip replacement prostheses does Dr. Marc Goossens use in his surgeries?
26,"Can you provide the address of Dr. Goossens' clinic in Gent, Belgium?"
26,What is the viscosity of the cement used for the femur in Dr. Goossens' procedures?
26,Are there any patient-reported positive outcomes associated with Dr. Goossens' surgeries?
26,What is the contact phone number for Dr. Goossens' practice?
27,What is Dr. Erwin Jansegers' experience with hip resurfacing procedures?
27,Can you provide details about the Corail-like modular stem used in his surgeries?
27,What is the average size for the hip replacement surgery performed by Dr. Jansegers?
27,How does Dr. Jansegers handle two-sided hip operations?
27,"Is it possible for foreign patients to receive treatment from Dr. Jansegers in Wilrijk, Belgium?"
28,What is Dr. Michael Edgar Kloos's specialization in orthopedic surgery?
28,In which city and country is Dr. Kloos's practice located?
28,What are the patient-reported outcomes associated with Dr. Kloos's procedures?
28,How can I contact Dr. Kloos for an appointment?
28,Are there any details available about the type of prostheses used by Dr. Kloos during surgeries?
29,What types of hip resurfacing prostheses does Dr. Peter Mertens use?
29,How many total prostheses does Dr. Mertens and his team perform each year?
29,Is cement used for the femur during the hip replacement procedure performed by Dr. Mertens?
29,What is the address of Dr. Peter Mertens' practice in Antwerpen?
29,What is Dr. Mertens' email address for inquiries?
30,What types of hip replacement prosthetics do you use?
30,Can you explain the average size and location of the hip replacements you perform?
30,What is your process for assessing X-rays after surgery?
30,Do you provide a complete operation report after the procedure?
30,What is your experience with complications arising from bilateral cup placements?
31,What is Dr. Lafayette Lage's area of specialization and where is his clinic located?
31,Can you provide information about the type of hip replacement prosthesis Dr. Lage uses?
31,How many hip replacement surgeries has Dr. Lafayette Lage performed?
31,"Does Dr. Lafayette Lage provide reports after the surgery, and what are the outcomes reported by patients?"
31,Is there a specific anesthetic method used by Dr. Lage during hip surgeries?
32,What types of hip replacements does Dr. Tito H. N. Rocha perform in Rio de Janeiro?
32,Can you provide information on the types of femur prostheses used by Dr. Rocha?
32,Is there any data on patient-reported outcomes after surgery with Dr. Rocha?
32,What is the address of Dr. Rocha's clinic in Rio de Janeiro?
32,How can I contact Dr. Rocha's office for an appointment or further inquiries?
33,What is Dr. John Antoniou's specialty and where is he located?
33,What types of hip prosthesis does Dr. Antoniou use during his procedures?
33,How can I contact Dr. Antoniou's office directly?
33,Does Dr. Antoniou have a history of positive patient outcomes after surgeries?
33,Where can I find more information about Dr. Antoniou's qualifications and professional background?
34,What kind of experience does Dr. Paul Beaulé have in performing hip replacement surgeries?
34,Can you provide information about the hospital where Dr. Beaulé practices?
34,How successful are the patient-reported outcomes for Dr. Beaulé's surgeries?
34,Is there a way to contact Dr. Beaulé's office directly for inquiries?
34,What city and country is Dr. Beaulé based in for his orthopedic practice?
35,What type of hip replacement prosthesis does Dr. Burnett use?
35,Can you provide the address where Dr. Burnett's office is located?
35,How many hip replacement surgeries has Dr. Burnett performed?
35,Is there any information on patient-reported outcomes after surgery with Dr. Burnett?
35,What city and country is Dr. Burnett located in?
36,What type of hip resurfacing prosthesis does Dr. Andrew Clark use in his surgeries?
36,Can you tell me the city and country where Dr. Andrew Clark practices his orthopedic surgery?
36,Are there any reported positive outcomes from patients who have undergone surgery with Dr. Andrew Clark?
36,Does Dr. Andrew Clark perform bilateral hip operations?
36,What kind of patient complications has Dr. Andrew Clark encountered in his practice?
37,What type of hip prosthesis does Dr. Justin deBeer use for hip replacement surgeries?
37,Where is Dr. Justin deBeer located for consultations and surgeries?
37,What is the contact number for Dr. Justin deBeer at Henderson Hospital?
37,Does Dr. Justin deBeer have reported positive outcomes from his patients?
37,Is there any information available about the operational techniques used by Dr. Justin deBeer?
38,What type of hip replacement prosthesis does Dr. Robert John Feibel use?
38,Can you provide the address of Dr. Feibel's practice?
38,Is there a record of positive patient outcomes for Dr. Feibel?
38,What is the phone number to contact Dr. Feibel's office?
38,Does Dr. Feibel perform surgeries on foreign patients?
39,What type of hip prosthesis does Dr. Garbuz use for hip replacements?
39,Can you provide the location and contact information for Dr. Garbuz's practice in Vancouver?
39,Has Dr. Garbuz reported any positive patient outcomes from his surgeries?
39,What is Dr. Garbuz's email address for further inquiries?
39,Is there any information on the operational technique used by Dr. Garbuz during surgeries?
40,What types of hip prosthesis does Dr. Nelson Greidanus currently use?
40,Can you provide information about the operational techniques employed by Dr. Greidanus?
40,Is completing the operational report mandatory after surgery with Dr. Greidanus?
40,What is the location and address of Dr. Greidanus's practice in Vancouver?
40,Does Dr. Greidanus perform two-sided hip operations?
41,What type of hip replacement prosthesis does Dr. Olga Huk-Papanastasiou use?
41,Where is Dr. Olga Huk-Papanastasiou's practice located?
41,Are there any documented patient-reported outcomes for Dr. Olga Huk-Papanastasiou?
41,What is the contact number for Dr. Olga Huk-Papanastasiou's office?
41,Does Dr. Olga Huk-Papanastasiou perform two-sided operations?
42,What type of hip prosthesis does Dr. Richard W. Kendall use for surgeries?
42,What is the average size of the hip replacement performed by Dr. Kendall?
42,"Where is Dr. Kendall's practice located in Richmond, Canada?"
42,"Can I contact Dr. Kendall directly for inquiries, and what is his phone number?"
42,What types of outcomes do patients report after surgery with Dr. Kendall?
43,What is the operational technique that Dr. Paul Kim uses for hip surgeries?
43,Can you provide information about the types of hip replacement prostheses Dr. Paul Kim employs?
43,What is the address of Dr. Paul Kim's practice?
43,Has Dr. Paul Kim received any patient-reported complications from his surgeries?
43,What are the patient-reported outcomes after surgery with Dr. Paul Kim?
44,What type of hip replacement prosthesis does Dr. Martin Lavigne use for surgeries?
44,Where is Dr. Martin Lavigne's practice located in Canada?
44,Can you provide the contact phone number for Dr. Martin Lavigne's office?
44,What is the reported outcome of patients who have had surgery with Dr. Martin Lavigne?
44,Is there any information available about the complications associated with Dr. Martin Lavigne's procedures?
45,What is the average location of hip replacement surgeries performed by Dr. Ethan Lichtblau?
45,Can you tell me whether Dr. Ethan Lichtblau provides complete operation reports after surgery?
45,"Is it possible to reach Dr. Lichtblau through email, and if so, what is his email address?"
45,"Does Dr. Lichtblau have any reported complications from surgeries, according to patient feedback?"
45,"Where is Dr. Ethan Lichtblau's practice located in Montreal, Quebec?"
46,What city does Dr. James R. MacKenzie practice in?
46,What is the phone number to contact Dr. MacKenzie?
46,Does Dr. MacKenzie have a positive patient-reported outcomes record?
46,What is the address of Dr. MacKenzie's office?
46,Is there information regarding complications associated with Dr. MacKenzie's surgeries?
47,What type of hip prosthesis does Dr. Bassam A. Masri use for surgeries?
47,What is the address of Dr. Masri's practice in Vancouver?
47,Does Dr. Masri have any patient-reported positive outcomes from his surgeries?
47,What is the contact number to reach Dr. Masri's office?
47,Is there a homepage or website available for Dr. Masri?
48,What type of hip replacement prosthesis does Dr. Frank Mastrogiacomo use?
48,Can I find Dr. Frank Mastrogiacomo's clinic location in Toronto?
48,What is the contact phone number for Dr. Frank Mastrogiacomo at Toronto East General Hospital?
48,Does Dr. Frank Mastrogiacomo report any positive outcomes from his patients?
48,Is a referral required for complications after seeing Dr. Frank Mastrogiacomo?
49,"What is the full name of the orthopedic surgeon practicing in Victoria, Canada?"
49,Can you provide the contact number for Dr. McAllister?
49,What city and country does Dr. McAllister practice in?
49,Does Dr. McAllister have a reported record of positive patient outcomes?
49,Is there any information on the types of prostheses used by Dr. McAllister?
50,What is Dr. Jim Powell's city and country of practice?
50,Can you tell me about the average patient-reported outcomes after surgery with Dr. Powell?
50,What is the address of Dr. Jim Powell's practice in Calgary?
50,Is there any information on complications reported by patients treated by Dr. Powell?
50,What is the phone number to contact Dr. Jim Powell's office?
51,What types of hip prostheses does Dr. Alain Roy use in his surgeries?
51,Can you provide information on Dr. Alain Roy's patient-reported outcomes after surgery?
51,"Where is Dr. Alain Roy's practice located in Montreal, Quebec?"
51,Is Dr. Alain Roy available for consultations with foreign patients?
51,What is the contact number for Maisonneuve-Rosement Hospital to reach Dr. Alain Roy?
52,What type of hip replacement prosthesis does Dr. Emil Harald Schemitsch use?
52,Where is Dr. Schemitsch's practice located?
52,Can you tell me if Dr. Schemitsch has reported any patient complications?
52,What is the average number of hip replacement surgeries Dr. Schemitsch performs in a year?
52,Does Dr. Schemitsch provide complete operation reports to patients?
53,What type of hip replacement prosthesis does Dr. Arno Smit use?
53,In which city is Dr. Arno Smit located?
53,What is the phone number to contact Dr. Arno Smit's office?
53,Are there any reported complications from patients treated by Dr. Arno Smit?
53,Does Dr. Arno Smit provide a complete operation report after surgery?
54,What type of hip replacement prosthesis does Dr. Frank Smith use?
54,Can you provide the phone number for Dr. Frank Smith's office?
54,In which city is Dr. Frank Smith's practice located?
54,Does Dr. Frank Smith report a high rate of positive patient outcomes?
54,Is a complete operation report available after surgery with Dr. Frank Smith?
55,What is Dr. Peter Thurston's experience in performing hip surgeries?
55,Can you provide details about the types of prosthesis Dr. Thurston uses for hip replacements?
55,What hospital is Dr. Peter Thurston affiliated with in Ottawa?
55,Is there any information regarding patient complications linked to Dr. Thurston's surgeries?
55,How can I contact Dr. Peter Thurston's office for an appointment?
56,What is the experience level of Dr. Jacobus J. van Sittert in performing hip replacement surgeries?
56,Can you provide information on the types of hip prostheses that Dr. van Sittert uses for his surgeries?
56,"What hospital does Dr. van Sittert practice in, and where is it located?"
56,Are there any patient-reported outcomes or complications associated with Dr. van Sittert's surgeries?
56,What is the contact information for reaching Dr. van Sittert's office?
57,What type of hip prosthesis does Dr. Pascal-Andre Vendittoli use for surgeries?
57,Where is Dr. Pascal-Andre Vendittoli's practice located?
57,What is the contact phone number for Dr. Pascal-Andre Vendittoli?
57,Does Dr. Pascal-Andre Vendittoli report patient outcomes after surgeries?
57,Is there a website where I can find more information about Dr. Pascal-Andre Vendittoli's practice?
58,What is the full address of Dr. Jason Werle's office in Calgary?
58,Can you tell me if Dr. Jason Werle has had any patient-reported complications?
58,Is there an operational report provided after the surgery by Dr. Jason Werle?
58,What were the patient-reported outcomes from surgeries performed by Dr. Jason Werle?
58,What is the contact number to reach Dr. Jason Werle's office?
59,What type of hip replacement prosthesis does Dr. Mitch Winemaker use?
59,Can you provide the contact number for Dr. Mitch Winemaker's practice?
59,What is the name of the hospital where Dr. Mitch Winemaker practices?
59,Are there any reported complications from patients treated by Dr. Mitch Winemaker?
59,In which country is Dr. Mitch Winemaker located?
60,"What is Dr. Michael Wood's experience as an orthopedic surgeon in Toronto, Canada?"
60,Can you provide details about the type of hip replacement prosthesis Dr. Wood uses in his surgeries?
60,What is the address of Dr. Wood's practice at St. Joseph's Health Centre?
60,How can I contact Dr. Michael Wood's office for further inquiries?
60,What are the reported outcomes of patients who have undergone surgery with Dr. Wood?
61,What types of hip resurfacing prostheses does Dr. Pekka Halonen use?
61,How many hip resurfacing surgeries has Dr. Halonen performed?
61,Does Dr. Halonen perform simultaneous operations on both hips?
61,What type of anesthesia does Dr. Halonen use for surgeries?
61,Are there any patient-reported complications associated with Dr. Halonen's surgeries?
62,What is Dr. Bashar Kassis's experience with hip replacement surgeries?
62,Can you provide information about the types of prostheses used by Dr. Kassis?
62,What is the operational technique employed by Dr. Bashar Kassis for hip surgeries?
62,Are there any patient-reported complications associated with Dr. Kassis's procedures?
62,"Where is Dr. Bashar Kassis's practice located in St. Germain En Laye, France?"
63,What is Dr. Tom Berg's specialty as an orthopedic surgeon?
63,What type of hip replacement prosthesis does Dr. Berg use?
63,"Can you provide the address of Dr. Tom Berg's practice in Damme, Germany?"
63,What is Dr. Berg's contact phone number for appointments?
63,Are there any reported complications from patients who have undergone surgery with Dr. Berg?
64,What is Dr. Jürgen Beyer's approach to using the BHR prosthesis for hip surgery?
64,Does Dr. Beyer have any recent patient-reported outcomes to share?
64,Where is Dr. Jürgen Beyer's office located in Stuttgart?
64,What phone number can I use to contact Dr. Beyer’s office directly?
64,Is there a website where I can find more information about Dr. Beyer's services?
65,What type of hip replacement prosthesis does Dr. Heinz-Gerhard Braick use?
65,Where is Dr. Heinz-Gerhard Braick's practice located?
65,Can I find patient-reported outcomes for surgeries performed by Dr. Braick?
65,What is the contact number for scheduling an appointment with Dr. Braick?
65,Does Dr. Heinz-Gerhard Braick offer services for foreign patients?
66,What type of hip replacement prosthesis does Dr. Hans Otto Breithaupt use?
66,Is Dr. Breithaupt's practice open to foreign patients?
66,"What is the address of Dr. Breithaupt's practice in Reiskirchen, Germany?"
66,How can I contact Dr. Breithaupt's office by phone?
66,What email address should I use to reach out to Dr. Breithaupt for inquiries?
67,What type of hip prosthesis does Dr. Diedrich use for hip resurfacing procedures?
67,"Can you provide the address of Dr. Diedrich's practice in Adendorf, Germany?"
67,What are the patient-reported outcomes for surgeries performed by Dr. Diedrich?
67,Is there any information available on the operational technique used by Dr. Diedrich?
67,What is the contact phone number to reach Dr. Diedrich's office?
68,What type of hip prosthesis does Dr. H.U. Doss use for hip replacements?
68,In which city and country does Dr. H.U. Doss practice orthopedic surgery?
68,Can you provide me with the contact phone number for Dr. H.U. Doss's office?
68,Does Dr. H.U. Doss report any positive patient outcomes from his surgeries?
68,What is the email address for reaching Dr. H.U. Doss's office for inquiries?
69,What is Dr. Sven Eckhardt's approach to using the Birmingham Hip Resurfacing prosthesis?
69,Can you provide information about the location of Dr. Sven Eckhardt's practice in Rosenheim?
69,What are the contact details for scheduling an appointment with Dr. Sven Eckhardt?
69,Does Dr. Sven Eckhardt report patient complications or positive outcomes after surgery?
69,Is there any information available about the operational technique Dr. Sven Eckhardt uses for hip surgeries?
70,What type of hip replacement prosthesis does Dr. Lutz Engelmann use?
70,"Can you provide the location of Dr. Engelmann's practice in Zwickau, Germany?"
70,Has Dr. Engelmann reported any positive outcomes from his hip surgeries?
70,What is Dr. Engelmann's email address for appointment inquiries?
70,Is there a homepage or website where I can find more information about Dr. Engelmann's services?
71,What type of hip prosthesis does Dr. Peer Eysel use for surgeries?
71,Where is Dr. Peer Eysel's office located?
71,How can I contact Dr. Peer Eysel for appointment inquiries?
71,Are there any patient-reported positive outcomes related to Dr. Peer Eysel's surgeries?
71,Does Dr. Peer Eysel accept foreign patients for hip surgery?
72,What types of hip prostheses does Dr. Michael Faensen specialize in?
72,Where is Dr. Michael Faensen's clinic located in Berlin?
72,Can I expect positive outcomes based on patient reports for Dr. Faensen's surgeries?
72,What is the phone number for Dr. Faensen's clinic at DRK Kliniken?
72,Is there a homepage where I can find more information about Dr. Faensen's practice?
73,What type of hip prosthesis does Dr. Daniel Frank use for hip replacement surgeries?
73,Can you provide Dr. Daniel Frank's contact number for inquiries?
73,In which city and country is Dr. Daniel Frank's practice located?
73,Are there any patient-reported positive outcomes associated with Dr. Daniel Frank's surgeries?
73,What is the address of Dr. Daniel Frank's clinic?
74,What type of hip replacement prosthesis does Dr. Ludger Gerdesmeyer use for surgeries?
74,"Can you provide the contact details for Dr. Ludger Gerdesmeyer in Kiel, Germany?"
74,What is the average number of hip replacements performed by Dr. Gerdesmeyer annually?
74,Does Dr. Gerdesmeyer have positive patient-reported outcomes after hip surgery?
74,Is there a complete operation report available after the surgery with Dr. Gerdesmeyer?
75,What specific type of hip replacement does Dr. Dirk Glaser perform?
75,"Where is Dr. Dirk Glaser's practice located in Neuss, Germany?"
75,What are the reported outcomes from patients treated by Dr. Dirk Glaser?
75,Does Dr. Dirk Glaser offer services for foreign patients?
75,What is the website for Dr. Dirk Glaser's orthopedic practice?
76,What type of hip prosthesis does Dr. Reiner Gradinger use for hip replacements?
76,Can you provide the address of Dr. Reiner Gradinger's clinic in München?
76,What is Dr. Reiner Gradinger's contact phone number?
76,Has Dr. Reiner Gradinger reported any positive outcomes from his patients?
76,Where can I find more information about Dr. Reiner Gradinger's orthopedic practice online?
77,What type of hip replacement prosthesis does Dr. Klaus-Peter Günther use for surgeries?
77,Where is Dr. Klaus-Peter Günther's practice located in Germany?
77,Can you provide the contact number for Dr. Klaus-Peter Günther's office?
77,What are the patient-reported outcomes after surgery with Dr. Klaus-Peter Günther?
77,Does Dr. Klaus-Peter Günther provide reports after the operation?
78,What type of hip prosthesis does Dr. Heimann use for surgeries?
78,Can you provide the contact information for Dr. Heimann's practice in Olsberg?
78,What are the reported outcomes for patients treated by Dr. Heimann?
78,Is Dr. Heimann affiliated with any hospitals or clinics?
78,Where can I find more information about Dr. Heimann's services?
79,What type of hip replacement prosthesis does Dr. Peter Hertel use?
79,Can you tell me the location of Dr. Peter Hertel's practice?
79,Does Dr. Peter Hertel have positive patient-reported outcomes?
79,What is the contact phone number for Dr. Peter Hertel's office?
79,Is there a website where I can find more information about Dr. Peter Hertel?
80,What is Dr. Thomas Hess's experience level in performing hip replacement surgeries?
80,What type of hip replacement prosthesis does Dr. Hess use for surgeries?
80,Where is Dr. Thomas Hess's practice located?
80,Does Dr. Hess provide patient-reported outcomes and complications for his surgeries?
80,Which operational technique does Dr. Thomas Hess employ during hip replacement procedures?
81,What type of hip replacement prosthesis does Dr. Eckehard Hille use?
81,"Is Dr. Hille located in Hamburg, Germany, and what is his clinic's address?"
81,Does Dr. Hille have patient-reported positive outcomes after surgery?
81,What is the name of the hospital where Dr. Eckehard Hille practices?
81,"Can I contact Dr. Hille for a consultation, and what is the address of his clinic?"
82,What type of hip replacement prosthesis does Dr. Hoffmann use?
82,Are there any noted patient-reported positive outcomes from surgeries performed by Dr. Hoffmann?
82,Where is Dr. Hoffmann's practice located?
82,What is the contact number for Dr. Hoffmann's office?
82,Does Dr. Hoffmann have any experience treating foreign patients?
83,What type of hip prosthesis does Dr. Jörg Jerosch use for surgeries?
83,"Can you provide the address of Dr. Jörg Jerosch's clinic in Neuss, Germany?"
83,What is the phone number to reach Dr. Jörg Jerosch's office if I have questions?
83,Are patient-reported positive outcomes available for Dr. Jörg Jerosch?
83,Is there any information on complications reported by patients after surgeries performed by Dr. Jörg Jerosch?
84,What type of hip replacement prosthesis does Dr. Kerschbaumer use?
84,In which city and country is Dr. Kerschbaumer's practice located?
84,Does Dr. Kerschbaumer report any patient-reported positive outcomes?
84,What is the address of the Rotkreuz Krankenhaus where Dr. Kerschbaumer operates?
84,Is there any information available regarding complications reported by patients treated by Dr. Kerschbaumer?
85,What type of hip prosthesis does Dr. Wolfgang Klein use for his operations?
85,Can you provide the contact details for Dr. Wolfgang Klein's practice in Wolfsburg?
85,Is there any information on Dr. Wolfgang Klein's patient-reported outcomes or complications?
85,What is the address of Dr. Wolfgang Klein's clinic in Wolfsburg?
85,Does Dr. Wolfgang Klein perform surgeries for foreign patients?
86,What type of hip replacement prosthesis does Dr. Leszek A. Kokoszka use for surgeries?
86,"What is the address of Dr. Kokoszka's practice in Aschaffenburg, Germany?"
86,Is there any information available about patient-reported outcomes following surgery with Dr. Kokoszka?
86,What is the contact phone number for scheduling an appointment with Dr. Kokoszka?
86,Does Dr. Kokoszka's clinic offer services for foreign patients?
87,What type of hip replacement prosthesis does Dr. Reinhard Kujat use?
87,Can you provide the address for Dr. Kujat's practice in Hannover?
87,What is the contact email for scheduling an appointment with Dr. Kujat?
87,What city and country is Dr. Kujat based in?
87,What phone number can I call to reach Dr. Kujat's office?
88,What type of hip prosthesis does Dr. Tobias Köhler use for operations?
88,Can you provide the contact information for Dr. Köhler's office in Dresden-Neustadt?
88,What are the reported patient outcomes from surgeries performed by Dr. Köhler?
88,Does Dr. Köhler perform surgeries on foreign patients?
88,Is there a website where I can find more information about Dr. Köhler's services?
89,What type of hip replacement prosthesis does Dr. Lawrenz use?
89,Can you provide details about Dr. Lawrenz's patient-reported outcomes after surgery?
89,"Where is Dr. Lawrenz's clinic located in Buxtehude, Germany?"
89,Is there a way to contact Dr. Lawrenz directly by phone?
89,Does Dr. Lawrenz have a website where I can find more information?
90,What is Dr. Norbert Lindner's average size for hip replacement surgery?
90,Can you tell me about the type of hip prosthesis used by Dr. Lindner?
90,Where is Dr. Norbert Lindner's practice located?
90,What operational technique does Dr. Lindner use in his surgeries?
90,How can I contact Dr. Lindner to schedule a consultation?
